Timestamp,Age,Gender,Employee Status,Education Qualification Father,Education Qualification Mother,Income during School,Education Qualification,HS Sream,Education Loan?,School Extra Activities,School Academics,School Student Type,Enjoyed School?,Bullied in School?,School Favorite Subject,not repeated,Repeated 9th,Repeated 10th,Tuition?,Tuition Class,Dream,Teaching Satisfaction,School Teachers Caring,Bad Teacher,Regular Access to,School Sleeping Hours,Sc-Illness,Stressful School,Same Stream for Bachalors?,Course Choice Decision,College Personality Change,College Attenance,College Academic,Travel Time to college,College Sleep Change,Study Time Prefered during College,College Life,College Teaching Quality,Extra Activities Participation Change,College Teachers Accessible,College Confidence,College Social Life,College BedTime,Same Stream for Masters?,University Attenance,University Personality Change,Univ-Trav-Dist,University Extra Activities Participation Change,University Sleep time Change,University Life,University Teaching Quality,University Teachers Accessible,University Confience Level,Curent Education System Satisfaction,Change Education System?,Change at what Level?,What Kind Of Change?,Eductaion Provide Enough Knowledge?,Successfull?
03-09-2021 11:18,23,Male,Student (Unemployed),Secondary education or high school,Higher Secondary,"30,00 to 50,000",Bachelor's degree,Vocational,No,NSS/NCC/Scouts/etc,Average,"Studious, Talkative",Yes,No,"Science(Biology,Chemistry,Physics), Mathematics, Social Science(Geography,History), Language Studies(English/Hindi/Konkani/French/Portuguese), Computer Studies",not repeated,not repeated,not repeated,No,Not Attended,VFX,5,5,No such teachers,Library,5-8 hours,Yes,3,Changed,My choice based on my own interests,Positive,100%-75%,3,more than 1 hour,Less sleep,"Evening, Late night",Easy but Hectic,5,Increased,Always,4,2,01:30:00 AM,Same,75%-50%,Negative,Long distance travelling,Decreased,Less sleep,Difficult and hectic,4,Most of the time,3,3,Yes,"School, High School, College, Under Graduates, Post Graduates","Offer more choices in the form of electives to students at school level, Up to date Syllabus in schools with newer and relevant information, Implementing more hands on/practical learning methods over rote learning",Maybe,No
03-09-2021 11:21,22,Female,Student (Unemployed),Secondary education or high school,Secondary education or high school,"50,000-1,00,000",Master's degree,Science,No,Cultural,Good,"Studious, Cooperative, Quiet",Yes,No,"Science(Biology,Chemistry,Physics), Computer Studies, P.E/PT",not repeated,not repeated,not repeated,No,Not Attended,Teacher,4,4,No such teachers,"Laptop/Desktop, Own Mobile phone, Internet",5-8 hours,No,2,Same,My choice based on my own interests,Positive,100%-75%,4,more than 1 hour,No change,Late night,Easy and Manageable,4,Decreased,Most of the time,4,4,01:00:00 AM,Same,100%-75%,Positive,Long distance travelling,Decreased,Less sleep,Difficult and hectic,4,Most of the time,4,2,Yes,"College, Under Graduates, Post Graduates","Update Curriculum to Industry Standards in professional/Technical College level courses, Implementing more hands on/practical learning methods over rote learning, Change the way students are being Tested/Evaluated",Maybe,Yes
03-09-2021 11:22,23,Female,Student (Unemployed),No formal education,Secondary education or high school,"50,000-1,00,000",Bachelor's degree,Vocational,No,"Sports,NSS/NCC/Scouts/etc",Good,"Mischevous, Talkative, Assertive, Cooperative, Hard Working",Yes,No,"Mathematics, Social Science(Geography,History), Language Studies(English/Hindi/Konkani/French/Portuguese), P.E/PT",not repeated,not repeated,not repeated,Yes,"1st - 4th, 8th-10th",Explorer,5,4,There were teachers but it did not affect my studies,Library,more than 8 hours,Yes,2,Changed,My choice based on my own interests,Negative,below 50%,3,less than 10mins,No change,"Early morning, Late night",Easy but Hectic,3,Decreased,Sometimes,1,1,11:00:00 PM,Same,100%-75%,Positive,Long distance travelling,Increased,Less sleep,Difficult and hectic,3,Most of the time,4,1,Yes,"School, High School, College, Under Graduates, Post Graduates","Offer more choices in the form of electives to students at school level, Update Curriculum to Industry Standards in professional/Technical College level courses, Up to date Syllabus in schools with newer and relevant information",No,No
03-09-2021 11:31,22,Female,Student (Employed),Bachelor's degree,Master's degree,"50,000-1,00,000",Master's degree,Science,No,"Sports,Cultural, Clubs",Good,"Talkative, Cooperative, Hard Working",Yes,Yes,"Computer Studies, P.E/PT",not repeated,not repeated,not repeated,Yes,11th-12th,Teacher,4,5,No such teachers,"Laptop/Desktop, Internet, Library",5-8 hours,No,3,Same,My choice based on my own interests,Positive,100%-75%,4,less 30 mins,Less sleep,"Evening, Late night",Easy but Hectic,5,Decreased,Always,4,4,01:00:00 AM,Same,100%-75%,Positive,Short distance travelling,Decreased,Less sleep,Easy but Hectic,3,Most of the time,4,3,Yes,"School, Under Graduates, Post Graduates","Offer more choices in the form of electives to students at school level, Update Curriculum to Industry Standards in professional/Technical College level courses, Change the way students are being Tested/Evaluated",No,Somewhat
03-09-2021 11:34,22,Female,Employed,Bachelor's degree,Bachelor's degree,"upto 30,000",Bachelor's degree,Science,No,"Cultural,Clubs",Excellent,"Talkative, Cooperative, Hard Working",No,No,Computer Studies,not repeated,not repeated,not repeated,Yes,11th-12th,Chef,3,3,Yes It affected my studies negatively,"Laptop/Desktop, Internet, Library",3-5 hours,Yes,4,Same,Parents Choice,Positive,100%-75%,5,less 30 mins,Less sleep,"Evening, Late night",Easy but Hectic,4,Remained same,Always,3,3,02:00:00 AM,Same,100%-75%,No Change,Short distance travelling,Remained same,Less sleep,Easy but Hectic,3,Sometimes,3,2,Yes,"School, Kindergarten","Update Curriculum to Industry Standards in professional/Technical College level courses, Up to date Syllabus in schools with newer and relevant information, Change the way students are being Tested/Evaluated",Maybe,Somewhat
03-09-2021 11:39,22,Male,Student (Unemployed),Bachelor's degree,Bachelor's degree,"50,000-1,00,000",Bachelor's degree,Science,No,"Sports,Cultural",Above Average,"Mischevous, Assertive, Cooperative, Quiet",Yes,No,"Science(Biology,Chemistry,Physics)",not repeated,not repeated,not repeated,Yes,11th-12th,Developer ,4,4,No such teachers,"Laptop/Desktop, Own Mobile phone, Internet, Library",5-8 hours,No,2,Changed,My choice based on my own interests,Positive,75%-50%,3,less 30 mins,No change,"Evening, Late night",Easy and Manageable,4,Remained same,Most of the time,4,4,12:00:00 PM,Same,75%-50%,No Change,Short distance travelling,Remained same,Less sleep,Difficult but Manageable,4,Sometimes,4,3,Yes,"High School, College","Offer more choices in the form of electives to students at school level, Update Curriculum to Industry Standards in professional/Technical College level courses, Implementing more hands on/practical learning methods over rote learning",No,Somewhat
03-09-2021 11:41,26,Male,Employed,Higher Secondary,Secondary education or high school,"50,000-1,00,000",Master's degree,Science,No,Cultural,Good,"Studious, Mischevous, Talkative, Cooperative, Hard Working",Yes,Yes,"Mathematics, Computer Studies",not repeated,not repeated,not repeated,Yes,"8th-10th, 11th-12th",Engineer,3,3,No such teachers,"Laptop/Desktop, Own Mobile phone, Internet, Library",5-8 hours,Yes,3,Changed,My choice based on my own interests,Positive,100%-75%,4,less 30 mins,No change,Late night,Difficult but Manageable,4,Increased,Most of the time,4,5,01:00:00 AM,Same,100%-75%,No Change,Long distance travelling,Increased,No change,Difficult but Manageable,4,Sometimes,4,3,Yes,"School, High School, College, Under Graduates, Post Graduates","Offer more choices in the form of electives to students at school level, Update Curriculum to Industry Standards in professional/Technical College level courses, Encouraging students to participate in extra curriculars and sports",Maybe,Somewhat
03-09-2021 11:44,22,Female,Employed,Secondary education or high school,Secondary education or high school,"1,00,000-5,00,000",Bachelor's degree,Science,No,Not participated,Above Average,"Mischevous, Talkative, Cooperative",Yes,No,"Science(Biology,Chemistry,Physics), Social Science(Geography,History), Language Studies(English/Hindi/Konkani/French/Portuguese)",not repeated,not repeated,not repeated,Yes,8th-10th,Security analyst,3,4,There were teachers but it did not affect my studies,"Laptop/Desktop, Internet, Library",more than 8 hours,No,3,Changed,My choice based on my own interests,Positive,100%-75%,4,less than 10mins,Less sleep,Evening,Easy and Manageable,3,Decreased,Sometimes,4,2,12:00:00 AM,Changed,100%-75%,Positive,Short distance travelling,Remained same,More sleep,Easy but Hectic,5,Always,5,4,Yes,High School,"Update Curriculum to Industry Standards in professional/Technical College level courses, Up to date Syllabus in schools with newer and relevant information, Implementing more hands on/practical learning methods over rote learning",No,Yes
03-09-2021 11:46,23,Female,Student (Unemployed),Bachelor's degree,Bachelor's degree,"1,00,000-5,00,000",Master's degree,Science,No,"Sports,Cultural, Clubs,NSS/NCC/Scouts/etc",Average,"Mischevous, Talkative, Cooperative, Hard Working",Yes,No,"Mathematics, Computer Studies, P.E/PT",not repeated,not repeated,not repeated,Yes,"11th-12th, 10th",Engineer,5,5,No such teachers,"Laptop/Desktop, Own Mobile phone, Internet",5-8 hours,Yes,1,Same,My choice based on my own interests,Positive,100%-75%,3,30 mins to 1 hour,Less sleep,Late night,Difficult but Manageable,4,Increased,Always,3,2,01:00:00 PM,Same,75%-50%,Positive,Long distance travelling,Increased,Less sleep,Difficult and hectic,2,Most of the time,3,1,Yes,Post Graduates,"Up to date Syllabus in schools with newer and relevant information, Implementing more hands on/practical learning methods over rote learning, Change the way students are being Tested/Evaluated",Maybe,Somewhat
03-09-2021 11:50,21,Male,Student (Unemployed),Bachelor's degree,Bachelor's degree,"50,000-1,00,000",Bachelor's degree,Science,No,"Sports,Clubs",Average,Quiet,No,No,"Science(Biology,Chemistry,Physics), Social Science(Geography,History), Computer Studies, P.E/PT",not repeated,not repeated,not repeated,Yes,"8th-10th, 11th-12th",Doctor,4,4,No such teachers,Laptop/Desktop,5-8 hours,No,3,Same,Parents Choice,No Change,100%-75%,3,less than 10mins,Less sleep,Late night,Difficult but Manageable,2,Decreased,Most of the time,3,2,02:00:00 AM,Same,100%-75%,No Change,Remote/Distance Learning,Decreased,Less sleep,Difficult but Manageable,3,Sometimes,3,2,Yes,"School, High School, College, Under Graduates, Post Graduates","Offer more choices in the form of electives to students at school level, Update Curriculum to Industry Standards in professional/Technical College level courses, Up to date Syllabus in schools with newer and relevant information",Maybe,Somewhat
