Timestamp,Age,Gender,Employee Status,Education Qualification Father,Education Qualification Mother,Income during School,Education Qualification,HS Sream,Education Loan?,School Extra Activities,School Academics,School Student Type,Enjoyed School?,Bullied in School?,School Favorite Subject,not repeated,Repeated 9th,Repeated 10th,Tuition?,Tuition Class,Dream,Teaching Satisfaction,School Teachers Caring,Bad Teacher,Regular Access to,School Sleeping Hours,Sc-Illness,Stressful School,Same Stream for Bachalors?,Course Choice Decision,College Personality Change,College Attenance,College Academic,Travel Time to college,College Sleep Change,Study Time Prefered during College,College Life,College Teaching Quality,Extra Activities Participation Change,College Teachers Accessible,College Confidence,College Socal Life,College BedTime,Same Stream for Masters?,University Attenance,University Personality Change,Univ-Trav-Dist,University Extra Activities Participation Change,University Sleep time Change,University Life,University Teaching Quality,University Teachers Accessible,University Confience Level,Curent Education System Satisfaction,Change Education System?,Change at what Level?,What Kind Of Change?,Eductaion Provide Enough Knowledge?,Successfull?
3/23/2021 19:23,23,Female,Student (Unemployed),Higher Secondary,Higher Secondary,"50,000-1,00,000",Bachelor's degree,Arts,No,"Cultural, NSS/NCC/Scouts/etc",Average,"Talkative, Cooperative",Yes,No,Computer Studies,not repeated,not repeated,not repeated,Yes,11th-12th,Teacher,2,1,No such teachers,Library,3-5 hours,Yes,5,Changed,My choice based on my own interests,Negative,75%-50%,3,less 30 mins,Less sleep,Late night,Difficult but Manageable,4,Remained same,Rarely,4,3,12:00:00 PM,Same,75%-50%,Negative,Long distance travelling,Decreased,Less sleep,Difficult and hectic,3,Rarely,2,1,Yes,"School, High School, College, Under Graduates, Post Graduates",Change the way students are being Tested/Evaluated,No,No
3/23/2021 19:25,23,Female,Student (Unemployed),Secondary education or high school,Secondary education or high school,"30,00 to 50,000",Master's degree,Arts,No,"Cultural, NSS/NCC/Scouts/etc",Excellent,"Studious, Talkative, Cooperative",Yes,No,Language Studies(English/Hindi/Konkani/French/Portuguese),not repeated,not repeated,not repeated,No,Not Attended,Professor,5,5,No such teachers,"Own Mobile phone, Internet, Library",5-8 hours,No,1,Same,My choice based on my own interests,Positive,100%-75%,5,30 mins to 1 hour,Less sleep,Late night,Difficult but Manageable,5,Remained same,Always,5,3,2:00:00 AM,Same,100%-75%,Positive,Long distance travelling,Remained same,Less sleep,Difficult and hectic,3,Sometimes,4,4,Yes,"School, High School, College, Under Graduates, Post Graduates","Offer more choices in the form of electives to students at school level, Integrating the use of internet and encouraging self learning and research, Change the way students are being Tested/Evaluated",Maybe,Somewhat
3/23/2021 20:18,22,Female,Student (Unemployed),No formal education,Secondary education or high school,"30,00 to 50,000",Bachelor's degree,Arts,No,"Cultural, Clubs",Excellent,Studious,Yes,Yes,Language Studies(English/Hindi/Konkani/French/Portuguese),not repeated,not repeated,not repeated,Yes,8th-10th,Police,3,4,No such teachers,Library,5-8 hours,No,4,Same,My choice based on my own interests,Positive,100%-75%,5,less than 10mins,No change,Early morning,Difficult but Manageable,5,Decreased,Most of the time,4,1,10:00:00 AM,Same,100%-75%,Negative,Short distance travelling,Decreased,Less sleep,Difficult and hectic,2,Sometimes,4,1,Yes,Post Graduates,"Implementing more hands on/practical learning methods over rote learning, Change the way students are being Tested/Evaluated, There should be sufficient time to complete the syllabus... The motive of education should be to impart knowledge and not to just complete the syllabus in a hurry for the sake of just showing that you are appointed a teacher... Education is made useless specially in this covid pandemic",No,No
3/23/2021 20:47,21,Female,Student (Unemployed),Secondary education or high school,Secondary education or high school,"50,000-1,00,000",Master's degree,Arts,No,"Cultural, NSS/NCC/Scouts/etc",Good,"Studious, Talkative, Cooperative, Hard Working",Yes,No,Language Studies(English/Hindi/Konkani/French/Portuguese),not repeated,not repeated,not repeated,Yes,8th-10th,Teacher,3,3,No such teachers,"Own Mobile phone, Internet, Library",5-8 hours,No,3,Same,My choice based on my own interests,Positive,75%-50%,4,less 30 mins,No change,Evening,Easy and Manageable,4,Remained same,Most of the time,4,4,1:00:00 AM,Same,100%-75%,Positive,Long distance travelling,Remained same,No change,Easy and Manageable,4,Most of the time,4,3,Yes,"School, High School, College, Under Graduates","Offer more choices in the form of electives to students at school level, Integrating the use of internet and encouraging self learning and research, Encouraging students to participate in extra curriculars and sports",Yes,Somewhat
3/24/2021 2:37,23,Male,Student (Unemployed),Secondary education or high school,Secondary education or high school,"50,000-1,00,000",Master's degree,Arts,No,"Cultural, NSS/NCC/Scouts/etc",Average,Talkative,Yes,No,"Social Science(Geography,History)",not repeated,not repeated,not repeated,No,Not Attended,Teacher,4,4,No such teachers,Internet,5-8 hours,Yes,3,Same,My choice based on my own interests,Positive,100%-75%,4,30 mins to 1 hour,Less sleep,Evening,Easy but Hectic,3,Remained same,Most of the time,5,4,1:30:00 AM,Same,100%-75%,Positive,Long distance travelling,Increased,Less sleep,Difficult but Manageable,4,Always,5,3,Yes,"High School, College, Under Graduates, Post Graduates","Update Curriculum to Industry Standards in professional/Technical College level courses, Implementing more hands on/practical learning methods over rote learning, Change the way students are being Tested/Evaluated",Yes,Yes
3/24/2021 9:05,24,Male,Student (Unemployed),Primary education,Primary education,"upto 30,000",Master's degree,Arts,No,"Cultural, NSS/NCC/Scouts/etc",Average,Quiet,Yes,No,"Language Studies(English/Hindi/Konkani/French/Portuguese), P.E/PT",not repeated,not repeated,"yes, once",Yes,Not Attended,Teacher,5,5,No such teachers,Own Mobile phone,5-8 hours,No,1,Changed,My choice based on my own interests,Positive,100%-75%,3,less 30 mins,No change,"Early morning, Late night",Easy and Manageable,5,Increased,Always,4,5,11:00:00 AM,Same,100%-75%,Positive,Short distance travelling,Increased,No change,Easy and Manageable,4,Most of the time,5,3,Yes,College,Offer more choices in the form of electives to students at school level,Yes,Yes
3/24/2021 9:18,23,Male,Student (Unemployed),Master's degree,Secondary education or high school,"1,00,000-5,00,000",Bachelor's degree,Science,No,Sports,Excellent,Distracting,Yes,No,P.E/PT,not repeated,not repeated,not repeated,No,Not Attended,Professional Footballer,4,4,No such teachers,Own Mobile phone,5-8 hours,Yes,1,Same,My choice based on my own interests,Positive,100%-75%,5,more than 1 hour,Less sleep,"Early morning, Late night",Easy but Hectic,4,Remained same,Most of the time,5,5,12:12:00 AM,Same,100%-75%,Positive,Long distance travelling,Remained same,Less sleep,Easy but Hectic,3,Sometimes,4,3,Yes,School,"Offer more choices in the form of electives to students at school level, Up to date Syllabus in schools with newer and relevant information, Change the way students are being Tested/Evaluated",No,Yes
3/24/2021 9:22,23,Female,Student (Unemployed),Secondary education or high school,Secondary education or high school,"50,000-1,00,000",Bachelor's degree,Arts,No,Sports,Good,Cooperative,Yes,No,P.E/PT,not repeated,not repeated,not repeated,Yes,8th-10th,Teacher,4,5,No such teachers,Own Mobile phone,5-8 hours,No,2,Same,My choice based on my own interests,Positive,100%-75%,4,more than 1 hour,Less sleep,Late night,Difficult but Manageable,4,Decreased,Always,4,5,11:30:00 PM,Same,100%-75%,Positive,Long distance travelling,Decreased,Less sleep,Easy but Hectic,4,Most of the time,4,3,Yes,High School,Implementing more hands on/practical learning methods over rote learning,Yes,No
3/24/2021 10:59,22,Male,Student (Unemployed),Higher Secondary,Bachelor's degree,"above 5,00,000",Master's degree,Science,No,"Sports, Cultural, Clubs, NSS/NCC/Scouts/etc",Excellent,"Studious, Mischevous, Distracting, Talkative, Assertive, Cooperative, Hard Working, Quiet",Yes,Yes,"Science(Biology,Chemistry,Physics), Mathematics, Social Science(Geography,History), Language Studies(English/Hindi/Konkani/French/Portuguese), P.E/PT",not repeated,not repeated,not repeated,Yes,"5th-7th, 8th-10th, 11th-12th",Philosopher,3,4,There were teachers but it did not affect my studies,"Laptop/Desktop, Own Mobile phone, Internet, Library",5-8 hours,Yes,3,Same,Peer/Societal Pressure,Positive,100%-75%,5,less than 10mins,No change,"Early morning, Evening, Late night",Easy and Manageable,5,Increased,Always,5,5,12:00:00 AM,Same,100%-75%,Positive,Hostelite on campus,Decreased,No change,Easy and Manageable,4,Most of the time,5,3,Yes,"School, High School","Implementing more hands on/practical learning methods over rote learning, Change the way students are being Tested/Evaluated, Encouraging students to participate in extra curriculars and sports",Yes,Yes
3/24/2021 11:11,23,Male,Student (Unemployed),Master's degree,Secondary education or high school,"above 5,00,000",Bachelor's degree,Science,No,Sports,Above Average,"Studious, Mischevous, Cooperative",Yes,No,"Science(Biology,Chemistry,Physics), Mathematics, P.E/PT",not repeated,not repeated,not repeated,Yes,11th-12th,Research Field,5,5,No such teachers,"Laptop/Desktop, Internet, Library",5-8 hours,No,1,Same,My choice based on my own interests,Positive,100%-75%,3,more than 1 hour,Less sleep,Evening,Difficult but Manageable,4,Remained same,Most of the time,4,4,12:30:00 AM,Same,75%-50%,Positive,Short distance travelling,Remained same,More sleep,Difficult but Manageable,3,Most of the time,4,3,Yes,"School, High School, College, Under Graduates, Post Graduates","Offer more choices in the form of electives to students at school level, Integrating the use of internet and encouraging self learning and research, Change the way students are being Tested/Evaluated",Yes,Somewhat
